code,diagnosis_en,diagnosis_sr_latn,diagnosis_ru,diagnosis_lat
A32.8,Other forms of listeriosis,Ostali oblici listerioze,Другие формы листериоза,"Listeriosis, formae aliae"
A32.9,"Listeriosis, unspecified","Listerioza, neoznačena",Листериоз неуточненный,"Listeriosis, non specificata"
A33,Tetanus neonatorum,Tetanus novorođenčeta,Столбняк новорожденного,Tetanus neonati
A34,Obstetrical tetanus,Porođajni tetanus,Акушерский столбняк,Tetanus puerperalis
A35,Other tetanus,Drugi tetanus,Другие формы столбняка,Tetanus alius
A36,Diphtheria,Difterija,Дифтерия,Diphtheria
A36.0,Pharyngeal diphtheria,Difterija ždrela,Дифтерия глотки,Diphtheria pharyngica
A36.1,Nasopharyngeal diphtheria,Difterija nosa i ždrela,Дифтерия носоглотки,Diphtheria nasopharyngica
A36.2,Laryngeal diphtheria,Difterija grkljana,Дифтерия гортани,Diphtheria laryngica
A36.3,Cutaneous diphtheria,Difterija kože,Дифтерия кожи,Diphtheria cutanea
A36.8,Other diphtheria,Ostale difterije,Другая дифтерия,Diphtheriae aliae
A36.9,"Diphtheria, unspecified","Difterija, neoznačena",Дифтерия неуточненная,"Diphtheria, non specificata"
A37,Whooping cough,Veliki kašalj,Коклюш,Pertussis
A37.0,Whooping cough due to Bordetella pertussis,"Veliki kašalj, uzročnik Bordetella pertussis","Коклюш, вызванный Bordetella pertussis",Pertussis per Bordetellam pertussis
A37.1,Whooping cough due to Bordetella parapertussis,"Veliki kašalj, uzročnik Bordetella parapertussis","Коклюш, вызванный Bordetella parapertussis",Pertussis per Bordetellam parapertussis
A37.8,Whooping cough due to other Bordetella species,"Veliki kašalj, uzročnik Bordetella druge vrste","Коклюш, вызванный другим уточненным возбудителем вида Bordetella",Pertussis per Bordetellam speciei aliae
A37.9,"Whooping cough, unspecified","Veliki kašalj, neoznačen",Коклюш неуточненный,"Pertussis, non specificata"
A38,Scarlet fever,Šarlah,Скарлатина,Scarlatina
A39,Meningococcal infection,Infekcija uzrokovana meningokokom,Менингококковая инфекция,Infectio meningococcica
A39.0,Meningococcal meningitis,Zapaljenje moždanica uzrokovano meningokokom,Менингококковый менингит (G01*),Meningitis meningococcica
A39.1,Waterhouse-Friderichsen syndrome,Sindrom Waterhouse - Friderichsen,Синдром Уотерхауса-Фридериксена (E35.1*),Syndroma Waterhouse – Friderichsen
A39.2,Acute meningococcaemia,Akutna sepsa - trovanje uzrokovano meningokokom,Острая менингококкемия,Sepsis meningococcica acuta
A39.3,Chronic meningococcaemia,Hronična sepsa - trovanje uzrokovano meningokokom,Хроническая менингококкемия,Meningococcaemia chronica
A39.4,"Meningococcaemia, unspecified","Sepsa - trovanje uzrokovano meningokokom, neoznačena",Менингококкемия неуточненная,"Meningococcaemia, non specificata"
A39.5,Meningococcal heart disease,Bolest srca uzrokovana meningokokom,Менингококковая болезнь сердца,Morbus cordis meningococcica
A39.8,Other meningococcal infections,Ostale infekcije uzrokovane meningokokom,Другие менингококковые инфекции,Infectiones meningococcicae aliae
A39.9,"Meningococcal infection, unspecified","Infekcija uzrokovana meningokokom, neoznačena",Менингококковая инфекция неуточненная,"Infectio meningococcica, non specificata"
A40,Streptococcal sepsis,Streptokokna sepsa,Стрептококковая септицемия,Sepsis streptococcica
A40.0,"Sepsis due to streptococcus, group A",Sepsa uzrokovana streptokokom grupe A,"Септицемия, вызванная стрептококком группы A",Sepsis streptococcica A
A40.1,"Sepsis due to streptococcus, group B",Sepsa uzrokovana streptokokom grupe B,"Септицемия, вызванная стрептококком группы B",Sepsis streptococcica B
A40.2,"Sepsis due to streptococcus, group D and enterococcus",Sepsa uzrokovana streptokokom grupe D,"Септицемия, вызванная стрептококком группы D",Sepsis streptococcica D
A40.3,Sepsis due to Streptococcus pneumoniae,Sepsa uzrokovana pneumokokom,"Септицемия, вызванная Streptococcus pneumoniae",Sepsis pneumococcica
A40.8,Other streptococcal sepsis,Druga sepsa uzrokovana streptokokom,Другие стрептококковые септицемии,Sepsis streptococcica alia
A40.9,"Streptococcal sepsis, unspecified","Sepsa uzrokovana streptokokom, neoznačena",Стрептококковая септицемия неуточненная,"Sepsis streptococcica, non specificata"
A41,Other sepsis,Ostale sepse,Другая септицемия,Sepses aliae
A41.0,Sepsis due to Staphylococcus aureus,"Sepsa, uzročnik Staphylococcus aureus","Септицемия, вызванная Staphylococcus aureus",Sepsis staphylococcica
A41.1,Sepsis due to other specified staphylococcus,Sepsa koju uzrokuje drugi označeni stafilokok,"Септицемия, вызванная другим уточненным стафилококком","Sepsis staphylococcica alia, specificata"
A41.2,Sepsis due to unspecified staphylococcus,"Sepsa uzrokovana stafilokokom, neoznačena","Септицемия, вызванная неуточненным стафилококком","Sepsis staphylococcica, non specificata"
A41.3,Sepsis due to Haemophilus influenzae,"Sepsa, uzročnik Haemophilus influenzae","Септицемия, вызванная Haemophilus influenzae",Sepsis per Haemophilum influenzae
A41.4,Sepsis due to anaerobes,Sepsa uzrokovana anaerobnim bacilima,"Септицемия, вызванная анаэробами",Sepsis anaerobica
A41.5,Sepsis due to other Gram-negative organisms,Sepsa uzrokovana drugim Gram-negativnim organizmima,"Септицемия, вызванная другими грамотрицательными микроорганизмами",Sepsis per organismos Gramos-negativos alios
A41.8,Other specified sepsis,Druga označena sepsa,Другая уточненная септицемия,"Sepsis alia, specificata"
A41.9,"Sepsis, unspecified","Sepsa, neoznačena",Септицемия неуточненная,"Sepsis, non specificata"
A42,Actinomycosis,"Aktinomikoza, uzročnik Actinomyces",Актиномикоз,Actinomycosis
A42.0,Pulmonary actinomycosis,Aktinomikoza pluća,Легочный актиномикоз,Actinomycosis pulmonalis
A42.1,Abdominal actinomycosis,Aktinomikoza trbuha,Абдоминальный актиномикоз,Actinomycosis abdominalis
A42.2,Cervicofacial actinomycosis,Aktinomikoza vrata i lica,Шейно-лицевой актиномикоз,Actinomycosis cervicofacialis
A42.7,Actinomycotic sepsis,Sepsa - trovanje uzrokovano aktinomicesom,Актиномикозная септицемия,Sepsis actinomycotica
A42.8,Other forms of actinomycosis,Ostali oblici aktinomikoze,Другие актиномикозы,"Actinomycosis, formae aliae"
A42.9,"Actinomycosis, unspecified","Aktinomikoza, neoznačena",Актиномикоз неуточненный,"Actinomycosis, non specificata"
A43,Nocardiosis,"Nokardioza, uzročnik Nocardia",Нокардиоз,Nocardiosis
A43.0,Pulmonary nocardiosis,Nokardioza pluća,Легочный нокардиоз,Nocardiosis pulmonalis
A43.1,Cutaneous nocardiosis,Nokardioza kože,Нокардиоз кожи,Nocardiosis cutanea
A43.8,Other forms of nocardiosis,Ostali oblici nokardioze,Другие формы нокардиоза,"Nocardiosis, formae aliae"
A43.9,"Nocardiosis, unspecified","Nokardioza, neoznačena",Нокардиоз неуточненный,"Nocardiosis, non specificata"
A44,Bartonellosis,"Bartoneloza, uzročnik Bartonella",Бартонеллез,Bartonellosis
A44.0,Systemic bartonellosis,Sistemska bartoneloza,Системный бартонеллез,Bartonellosis systematica
A44.1,Cutaneous and mucocutaneous bartonellosis,Bartoneloza kože i sluznice,Кожный и кожно-слизистый бартонеллез,Bartonellosis cutanea et mucocutanea
A44.8,Other forms of bartonellosis,Drugi oblici bartoneloze,Другие бартонеллезы,"Bartonellosis, formae aliae"
A44.9,"Bartonellosis, unspecified","Bartoneloza, neoznačena",Бартонеллез неуточненный,"Bartonellosis, non specificata"
A46,Erysipelas,Crveni vetar,Рожа,Erysipelas
A48,"Other bacterial diseases, not elsewhere classified","Druge bakterijske bolesti, neklasifikovane na drugom mestu","Другие бактериальные болезни, не классифицированные в других рубриках","Morbi bacteriales alii, non alibi classificati"
A48.0,Gas gangrene,Gasna gangrena,Газовая гангрена,Gaseosa gangraena
A48.1,Legionnaires disease,Legioneloza,Болезнь легионеров,Legionellosis
A48.2,Nonpneumonic Legionnaires disease [Pontiac fever],Legioneloza lokalizovana izvan pluća,Болезнь легионеров без пневмонии [лихорадка Понтиак],Legionellosis extrapulmonalis
A48.3,Toxic shock syndrome,Toksički šok,Синдром токсического шока,Afflictus (shock) toxicus
A48.4,Brazilian purpuric fever,Brazilska osipna groznica,Бразильская пурпурная лихорадка,Febris brasiliana purpurica
A48.8,Other specified bacterial diseases,Ostale označene bakterijske bolesti,Другие уточненные бактериальные болезни,"Morbi bacteriales alii, specificati"
A49,Bacterial infection of unspecified site,Bakterijska infekcija neoznačene lokalizacije,Бактериальная инфекция неуточненной локализации,"Infectio bacterialis, loci non specificati"
A49.0,"Staphylococcal infection, unspecified site","Infekcija uzrokovana stafilokokom, neoznačene lokalizacije",Стафилококковая инфекция неуточненная,"Infectio staphylococcica, loci non specificati"
